fid,in_atuacao,in_id,in_iptu_pr,in_situac,in_sql,in_tipolog,CEPEUC_SETOR_QUADRA_LOTE,CEPEUC_TIPOLOGIA,CEPEUC_LOGRADOURO,CEPEUC_N,CEPEUC_COND.,CEPEUC_SUBPREFEITURA,CEPEUC_PERIMETRO,CEPEUC_AREA_DO_TERRENO,CEPEUC_AREA_CONTRUÍDA,CEPEUC_DATA_DA_NOTIFICAÇAO,CEPEUC_IDENTIFICAÇÃO_DO_INSTRUMENTO,CEPEUC_SITUAÇAO_DO_IMOVEL,CEPEUC_SOLICITACAO_DA_AVERBACAO,CEPEUC_DATA_INICIAL_DA_APLICAÇÃO,CEPEUC_DATA_PROTOCOLO_APROVACAO_E_EXECUCAO_PROJETO_OU_EQUIVALENTE,CEPEUC_DATA_EXPEDICAO_ALVARA_APROVACAO_E_EXECUCAO,CEPEUC_BASE_DECAD2018,CEPEUC_DATA_1_APLICACAO_DA_ALIQUOTA_PROGRESSIVA,CEPEUC_IPTU_PROGRESSIVO_ENVIADOS_SF2016,CEPEUC_IPTU_PROGRESSIVO_ENVIADOS_SF2017,CEPEUC_IPTU_PROGRESSIVO_ENVIADOS_SF2018,CEPEUC_IPTU_PROGRESSIVO_ENVIADOS_SF2019,CEPEUC_DATA DA PUBLICACAO_DECRETO_DE_DESAPROPRIACAO,CEPEUC_DATA_DA_PROPOSITURA_DEACAO_DE_DESAPROPRIACAO,CEPEUC_DESTINACAO_DO_IMOVEL,CEPEUC_JUSTIFICATIVA_AUSENCIA_INTERESSE_NA_AQUISICAO
"243",SUBPREFEITURA SÉ,"243",SIM,NOTIFICADO,"0070360070",NAO EDIFICADO,"0070360070",NÃO EDIFICADO,R FREDERICO ABRANCHES,"00135",,SPSE,SUBPREFEITURA SÉ,"36","44",2016/06/14,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/06/14,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"244",SUBPREFEITURA SÉ,"244",SIM,NOTIFICADO,"0070360071",NAO EDIFICADO,"0070360071",NÃO EDIFICADO,R FREDERICO ABRANCHES,"00135",,SPSE,SUBPREFEITURA SÉ,"44","44",2016/06/14,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/06/14,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"245",SUBPREFEITURA SÉ,"245",SIM,NOTIFICADO,"0070360072",NAO EDIFICADO,"0070360072",NÃO EDIFICADO,R FREDERICO ABRANCHES,"00135",,SPSE,SUBPREFEITURA SÉ,"36","44",2016/06/14,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/06/14,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"246",SUBPREFEITURA SÉ,"246",SIM,NOTIFICADO,"0070360073",NAO EDIFICADO,"0070360073",NÃO EDIFICADO,R FREDERICO ABRANCHES,"00135",,SPSE,SUBPREFEITURA SÉ,"44","44",2016/06/14,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/06/14,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"247",SUBPREFEITURA SÉ,"247",SIM,NOTIFICADO,"0070360074",NAO EDIFICADO,"0070360074",NÃO EDIFICADO,R FREDERICO ABRANCHES,"00135",,SPSE,SUBPREFEITURA SÉ,"36","44",2016/06/14,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/06/14,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"248",SUBPREFEITURA SÉ,"248",SIM,NOTIFICADO,"0070360075",NAO EDIFICADO,"0070360075",NÃO EDIFICADO,R FREDERICO ABRANCHES,"00135",,SPSE,SUBPREFEITURA SÉ,"44","44",2016/06/14,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/06/14,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"249",SUBPREFEITURA SÉ,"249",SIM,NOTIFICADO,"0070360079",NAO EDIFICADO,"0070360079",NÃO EDIFICADO,R FREDERICO ABRANCHES,"00125",,SPSE,SUBPREFEITURA SÉ,"254","1000",2016/06/14,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/06/14,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"250",SUBPREFEITURA SÉ,"250",SIM,NOTIFICADO,"0070360543",NAO EDIFICADO,"0070360543",NÃO EDIFICADO,R FREDERICO ABRANCHES,"00147",,SPSE,SUBPREFEITURA SÉ,"386","500",2016/06/14,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2016/06/14,"-","-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"251",SUBPREFEITURA SÉ,"251",NÃO,NOTIFICADO,"0070360544",SUBUTILIZADO,"0070360544",SUBUTILIZADO,R FREDERICO ABRANCHES,"00109",NA,SPSE,SUBPREFEITURA SÉ,"1752","40",2016/12/09,PEUC,NOTIFICADO,"-",2016/12/09,2014/05/20,2017/01/10,,"-","-","-","-","-","-","-","-","-"
"252",SUBPREFEITURA SÉ,"252",SIM,NOTIFICADO,"0070360546",NAO EDIFICADO,"0070360546",NÃO EDIFICADO,R FREDERICO ABRANCHES,"99999",,SPSE,SUBPREFEITURA SÉ,"800","0",2017/03/28,IPTU PROGRESSIVO,NOTIFICADO,"-",2017/03/28,2019/04/01,"-",,"2019","-","-","-",ENVIADO,"-","-","-","-"
"253",OU CENTRO,"253",NÃO,IMPUGNAÇÃO DEFERIDA / MONITORAMENTO,"0070490451",NAO EDIFICADO,"0070490451",NÃO EDIFICADO,R STA ISABEL,"186",NÃO,SPSE,OU CENTRO,"600","120",2015/08/27,PEUC,IMPUGNAÇÃO DEFERIDA / MONITORAMENTO,AVERBADO,2015/08/27,2018/01/03,"-",,"2017","-",ENVIADO,"-","-","-","-","-","-"
"254",OU CENTRO,"254",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070510056",SUBUTILIZADO,"0070510056",SUBUTILIZADO,LG DO AROUCHE,"00360",NÃO,SPSE,OU CENTRO,"742","70",2015/11/26,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/11/26,2012/08/20,"-",,"-","-","-","-","-","-","-","-","-"
"255",OU CENTRO,"255",SIM,NOTIFICADO,"0070520006",NAO UTILIZADO,"0070520006",NÃO UTILIZADO,AV SÃO JOÃO,"01091",NÃO,SPSE,OU CENTRO,"204","805",2015/02/26,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/02/26,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"256",OU CENTRO,"256",SIM,NOTIFICADO,"0070520045",NAO UTILIZADO,"0070520045",NÃO UTILIZADO,AV SÃO JOÃO,"01127",NÃO,SPSE,OU CENTRO,"360","1004",2015/03/11,IPTU PROGRESSIVO,IMPUGNAÇÃO EM ANÁLISE,AVERBADO,2015/03/11,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"257",OU CENTRO,"257",SIM,NOTIFICADO,"0070520079",NAO UTILIZADO,"0070520079",NÃO UTILIZADO,AV SÃO JOÃO,1151-1155,SIM,SPSE,OU CENTRO,"255","89",2014/12/10,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2014/12/10,"-","-",,"2016",ENVIADO,ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"258",OU CENTRO,"258",SIM,NOTIFICADO,"0070520080",NAO UTILIZADO,"0070520080",NÃO UTILIZADO,AV SÃO JOÃO,1151-1155,SIM,SPSE,OU CENTRO,"255","130",2014/12/10,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2014/12/10,"-","-",,"2016",ENVIADO,ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"259",OU CENTRO,"259",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070520081",NAO UTILIZADO,"0070520081",NÃO UTILIZADO,AV SÃO JOÃO,1151-1155,SIM,SPSE,OU CENTRO,"255","89",2014/12/12,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2014/12/12,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"260",OU CENTRO,"260",SIM,NOTIFICADO,"0070520083",NAO UTILIZADO,"0070520083",NÃO UTILIZADO,AV SÃO JOÃO,1151-1155,SIM,SPSE,OU CENTRO,"255","89",2014/12/10,IPTU PROGRESSIVO,IMPUGNAÇÃO EM ANÁLISE,AVERBADO,2014/12/10,"-","-",,"2016",ENVIADO,ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"261",OU CENTRO,"261",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070520085",NAO UTILIZADO,"0070520085",NÃO UTILIZADO,AV SÃO JOÃO,1151-1155,SIM,SPSE,OU CENTRO,"255","84",2014/11/27,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2014/11/27,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"262",OU CENTRO,"262",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070520086",NAO UTILIZADO,"0070520086",NÃO UTILIZADO,AV SÃO JOÃO,1151-1155,SIM,SPSE,OU CENTRO,"255","130",2014/11/27,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2014/11/27,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"263",OU CENTRO,"263",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070520087",NAO UTILIZADO,"0070520087",NÃO UTILIZADO,AV SÃO JOÃO,1151-1155,SIM,SPSE,OU CENTRO,"255","89",2014/11/27,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2014/11/27,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"264",OU CENTRO,"264",SIM,NOTIFICADO,"0070520089",NAO UTILIZADO,"0070520089",NÃO UTILIZADO,AV SÃO JOÃO,1151-1155,SIM,SPSE,OU CENTRO,"255","89",2014/12/24,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2014/12/24,"-","-",,"2016",ENVIADO,ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"265",OU CENTRO,"265",SIM,NOTIFICADO,"0070520091",NAO UTILIZADO,"0070520091",NÃO UTILIZADO,AV SÃO JOÃO,1151-1155,SIM,SPSE,OU CENTRO,"255","89",2014/12/12,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2014/12/12,"-","-",,"2016",ENVIADO,ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"266",OU CENTRO,"266",SIM,NOTIFICADO,"0070520094",NAO UTILIZADO,"0070520094",NÃO UTILIZADO,AV SÃO JOÃO,1151-1155,SIM,SPSE,OU CENTRO,"255","85",2014/11/27,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2014/11/27,"-","-",,"2016",ENVIADO,ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"267",OU CENTRO,"267",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070520095",NAO UTILIZADO,"0070520095",NÃO UTILIZADO,AV SÃO JOÃO,1151-1155,SIM,SPSE,OU CENTRO,"255","84",2014/11/27,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2014/11/27,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"268",OU CENTRO,"268",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070520096",NAO UTILIZADO,"0070520096",NÃO UTILIZADO,AV SÃO JOÃO,1151-1155,SIM,SPSE,OU CENTRO,"255","130",2014/11/27,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2014/11/27,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"269",OU CENTRO,"269",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070520097",NAO UTILIZADO,"0070520097",NÃO UTILIZADO,AV SÃO JOÃO,1151-1155,SIM,SPSE,OU CENTRO,"255","89",2014/11/27,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2014/11/27,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"270",OU CENTRO,"270",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070520098",NAO UTILIZADO,"0070520098",NÃO UTILIZADO,AV SÃO JOÃO,1151-1155,SIM,SPSE,OU CENTRO,"255","130",2014/11/27,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2014/11/27,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"271",OU CENTRO,"271",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070520101",NAO UTILIZADO,"0070520101",NÃO UTILIZADO,AV SÃO JOÃO,1151-1155,SIM,SPSE,OU CENTRO,"255","168",2014/12/08,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2014/12/08,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"272",OU CENTRO/ZEIS 3,"272",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070710008",SUBUTILIZADO,"0070710008",SUBUTILIZADO,PCA DA REPÚBLICA,"00365",NÃO,SPSE,OU CENTRO / ZEIS 3,"2142","734",2015/02/19,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2015/02/19,2014/05/23,"-",,"-","-","-","-","-","-","-","-","-"
"273",OU CENTRO,"273",SIM,RECURSO INDEFERIDO / MONITORAMENTO,"0070750031",NAO UTILIZADO,"0070750031",NÃO UTILIZADO,AV IPIRANGA,"785",NÃO,SPSE,OU CENTRO,"923","9470",2016/01/14,IPTU PROGRESSIVO,RECURSO INDEFERIDO / MONITORAMENTO,"-",2016/01/14,"-","-",,"2018","-","-",ENVIADO,ENVIADO,"-","-","-","-"
"274",OU CENTRO,"274",NÃO,NOTIFICADO,"0070810627",SUBUTILIZADO,"0070810627",SUBUTILIZADO,R AMARAL GURGEL,"489",NÃO,SPSE,OU CENTRO,"577","80",2015/11/16,PEUC,NOTIFICADO,AVERBADO,2015/11/16,2016/12/09,2017/08/24,,"-","-","-","-","-","-","-","-","-"
"275",OU CENTRO,"275",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820274",NAO UTILIZADO,"0070820274",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","20",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"276",OU CENTRO,"276",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820275",NAO UTILIZADO,"0070820275",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","20",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"277",OU CENTRO,"277",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820276",NAO UTILIZADO,"0070820276",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","20",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"278",OU CENTRO,"278",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820277",NAO UTILIZADO,"0070820277",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","20",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"279",OU CENTRO,"279",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820278",NAO UTILIZADO,"0070820278",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","20",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"280",OU CENTRO,"280",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820279",NAO UTILIZADO,"0070820279",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","20",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"281",OU CENTRO,"281",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820280",NAO UTILIZADO,"0070820280",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","15",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"282",OU CENTRO,"282",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820281",NAO UTILIZADO,"0070820281",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","15",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"283",OU CENTRO,"283",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820282",NAO UTILIZADO,"0070820282",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","15",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"284",OU CENTRO,"284",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820283",NAO UTILIZADO,"0070820283",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","15",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"285",OU CENTRO,"285",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820284",NAO UTILIZADO,"0070820284",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","15",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"286",OU CENTRO,"286",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820285",NAO UTILIZADO,"0070820285",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","15",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"287",OU CENTRO,"287",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820286",NAO UTILIZADO,"0070820286",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","20",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"288",OU CENTRO,"288",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820287",NAO UTILIZADO,"0070820287",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","20",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"289",OU CENTRO,"289",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820288",NAO UTILIZADO,"0070820288",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","20",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"290",OU CENTRO,"290",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820289",NAO UTILIZADO,"0070820289",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","20",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"291",OU CENTRO,"291",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820290",NAO UTILIZADO,"0070820290",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","20",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"292",OU CENTRO,"292",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820291",NAO UTILIZADO,"0070820291",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","20",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"293",OU CENTRO,"293",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820292",NAO UTILIZADO,"0070820292",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","15",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"294",OU CENTRO,"294",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820293",NAO UTILIZADO,"0070820293",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","15",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"295",OU CENTRO,"295",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820294",NAO UTILIZADO,"0070820294",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","15",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"296",OU CENTRO,"296",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820295",NAO UTILIZADO,"0070820295",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","15",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"297",OU CENTRO,"297",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820296",NAO UTILIZADO,"0070820296",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","15",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"298",OU CENTRO,"298",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820297",NAO UTILIZADO,"0070820297",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","15",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"299",OU CENTRO,"299",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820298",NAO UTILIZADO,"0070820298",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","20",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"300",OU CENTRO,"300",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820299",NAO UTILIZADO,"0070820299",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","20",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"301",OU CENTRO,"301",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820300",NAO UTILIZADO,"0070820300",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","20",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"302",OU CENTRO,"302",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820301",NAO UTILIZADO,"0070820301",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","20",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"303",OU CENTRO,"303",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820302",NAO UTILIZADO,"0070820302",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","20",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"304",OU CENTRO,"304",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820303",NAO UTILIZADO,"0070820303",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","20",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"305",OU CENTRO,"305",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820304",NAO UTILIZADO,"0070820304",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","15",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
"306",OU CENTRO,"306",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0070820305",NAO UTILIZADO,"0070820305",NÃO UTILIZADO,R REGO FREITAS,"553",SIM,SPSE,OU CENTRO,"276","15",2015/06/18,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/18,"-","-",,"-","-","-","-","-","-","-","-","-"
